DISTRITO;BARRIO;Precio_2022 (Euros/m2);Precio_2010 (Euros/m2);Max_historico (Euros/m2);Año_Max_Hist;CodBar-CodDistrit
ALGIRÓS;LA VEGA BAIXA;9.4;6.7;9.4;2022;134
BENIMACLET;BENIMACLET;8.9;6.8;9.4;2022;141
CAMINS AL GRAU;LA CREU DEL GRAU;9.3;6.7;9.7;2019;123
CAMINS AL GRAU;PENYA-ROJA;9.8;6.7;10.0;2021;125
CAMPANAR;CAMPANAR;8.0;9.2;9.5;2018;41
CAMPANAR;EL CALVARI;9.0;9.2;9.5;2022;43
CAMPANAR;LES TENDETES;9.0;9.2;9.5;2022;42
CAMPANAR;SANT PAU;10.3;9.2;10.5;2022;44
CIUTAT VELLA;LA XEREA;11.8;7.1;12.0;2019;12
EL PLA DEL REAL;JAUME ROIG;9.2;6.9;10.0;2020;63
EXTRAMURS;ARRANCAPINS;8.4;6.3;8.7;2021;34
EXTRAMURS;EL BOTANIC;10.0;6.3;10.7;2018;31
EXTRAMURS;LA PETXINA;9.4;6.3;10.3;2022;33
JESUS;L'HORT DE SENABRE;7.9;5.6;8.2;2022;92
L'EIXAMPLE;LA GRAN VIA;10.8;6.8;11.0;2020;23
L'EIXAMPLE;RUSSAFA;10.6;6.8;11.1;2020;21
L'OLIVERETA;LA FONTSANTA;8.6;6.0;8.8;2022;74
L'OLIVERETA;SOTERNES;8.6;6.0;8.8;2022;72
LA SAÏDIA;MARXALENES;7.8;6.2;9.6;2019;51
LA SAÏDIA;MORVEDRE;7.8;6.2;9.6;2019;52
PATRAIX;FAVARA;8.0;6.0;10.0;2020;85
PATRAIX;VARA DE QUART;7.4;6.0;9.1;2017;83
POBLATS MARÍTIMS;CABANYAL-CANYAMELAR;11.5;6.4;11.5;2022;112
POBLATS MARÍTIMS;NATZARET;10.2;6.4;10.2;2022;115
QUATRE CARRERES;EN CORTS;8.8;7.1;9.7;2022;102
QUATRE CARRERES;LA FONTETA S.LLUIS;8.8;7.1;9.7;2022;104
RASCANYA;SANT LLORENS;9.6;6.3;11.2;2018;153
ALGIRÓS;CIUTAT JARDI;9.2;6.7;9.5;2022;132
ALGIRÓS;LA CARRASCA;9.4;6.7;9.4;2022;135
BENICALAP;CIUTAT FALLERA;8.7;5.8;9.8;2022;162
BENIMACLET;CAMI DE VERA;8.9;6.8;9.4;2022;142
CAMINS AL GRAU;ALBORS;9.3;6.7;10.0;2022;122
CAMINS AL GRAU;CAMI FONDO;10.3;6.7;10.3;2022;124
CIUTAT VELLA;EL MERCAT;12.7;7.1;13.6;2018;15
CIUTAT VELLA;LA SEU;13.2;7.1;13.2;2022;11
EL PLA DEL REAL;EXPOSICIO;11.0;6.9;11.0;2022;61
EXTRAMURS;LA ROQUETA;10.4;6.3;12.5;2018;32
JESUS;LA CREU COBERTA;7.9;5.6;8.2;2022;93
JESUS;LA RAIOSA;7.3;5.6;8.0;2020;91
L'EIXAMPLE;EL PLA DEL REMEI;11.2;6.8;12.2;2018;22
L'OLIVERETA;NOU MOLES;8.6;6.0;8.8;2022;71
L'OLIVERETA;TRES FORQUES;8.6;6.0;8.8;2022;73
PATRAIX;SAFRANAR;8.0;6.0;10.0;2022;84
PATRAIX;SANT ISIDRE;8.0;6.0;10.0;2022;82
POBLATS MARÍTIMS;EL GRAU;10.2;6.4;10.2;2022;111
POBLATS MARÍTIMS;LA MALVA-ROSA;9.7;6.4;9.9;2021;113
QUATRE CARRERES;CIUTAT DE LES ARTS I DE LES CIENCIES;9.9;7.1;10.6;2022;107
QUATRE CARRERES;MONTOLIVET;8.2;7.1;9.4;2019;101
QUATRE CARRERES;NA ROVELLA;8.2;7.1;9.4;2019;105
RASCANYA;ELS ORRIOLS;8.7;6.3;8.7;2022;151
RASCANYA;TORREFIEL;3.0;6.3;8.3;2022;152
ALGIRÓS;L'AMISTAT;9.4;6.7;9.4;2022;133
ALGIRÓS;L'ILLA PERDUDA;9.4;6.7;9.4;2022;131
BENICALAP;BENICALAP;9.8;5.8;9.8;2022;161
CAMINS AL GRAU;AIORA;9.4;6.7;9.4;2022;121
CIUTAT VELLA;EL CARME;11.5;7.1;11.7;2022;13
CIUTAT VELLA;EL PILAR;10.4;7.1;11.9;2019;14
CIUTAT VELLA;SANT FRANCESC;12.0;7.1;12.2;2020;16
EL PLA DEL REAL;CIUTAT UNIVERSITARIA;10.0;6.9;10.0;2022;64
EL PLA DEL REAL;MESTALLA;9.7;6.9;10.1;2021;62
JESUS;CAMI REAL;7.9;5.6;8.2;2022;95
JESUS;SANT MARCEL.LI;7.3;5.6;8.0;2020;94
L'OLIVERETA;LA LLUM;8.6;6.0;8.8;2022;75
LA SAÏDIA;SANT ANTONI;7.2;6.2;8.3;2020;55
LA SAÏDIA;TRINITAT;8.4;6.2;8.6;2019;53
LA SAÏDIA;TORMOS;8.4;6.2;8.6;2019;54
PATRAIX;PATRAIX;8.0;6.0;10.0;2021;81
POBLATS MARÍTIMS;BETERO;11.5;6.4;11.5;2022;114
QUATRE CARRERES;LA PUNTA;9.7;7.1;10.5;2021;106
QUATRE CARRERES;MALILLA;8.7;7.1;8.7;2022;103
