"","Name","Id","Total parking spaces","Geo_shape","Latitude","Longitude"
"1","CONDE ALTEA - SALAMANCA - CANOVAS","74.0",399,"{""coordinates"": [-0.36538984652184026, 39.4678947721927], ""type"": ""Point""}","39.4678947721927"," -0.36538984652184026"
"2","MARTI GRAJALES (MERCADO DEL CABAÑAL)","76.0",369,"{""coordinates"": [-0.3331683457411016, 39.468412338176336], ""type"": ""Point""}","39.468412338176336"," -0.3331683457411016"
"3","INTERIOR HOSPITAL GENERAL UNIVERSITARIO DE VALENCIA","11.0",263,"{""coordinates"": [-0.41003739916241133, 39.46857562682237], ""type"": ""Point""}","39.46857562682237"," -0.41003739916241133"
"4","EXPLORADOR ANDRÉS - ENCARNA MÁÑEZ","94.0",617,"{""coordinates"": [-0.3451930979828903, 39.4715981587251], ""type"": ""Point""}","39.4715981587251"," -0.3451930979828903"
"5","APARCAMIENTOS LA FE","80.0",977,"{""coordinates"": [-0.37639609443946365, 39.44454573895219], ""type"": ""Point""}","39.44454573895219"," -0.37639609443946365"
"6","AVINGUDA DE L’OEST","75.0",270,"{""coordinates"": [-0.3798712802433029, 39.47122430252716], ""type"": ""Point""}","39.47122430252716"," -0.3798712802433029"
"7","REGNE","8.0",192,"{""coordinates"": [-0.36876652001024524, 39.464486259601976], ""type"": ""Point""}","39.464486259601976"," -0.36876652001024524"
"8","GLORIETA - PAZ","6.0",372,"{""coordinates"": [-0.36982637018307707, 39.47368117165146], ""type"": ""Point""}","39.47368117165146"," -0.36982637018307707"
"9","PROFESOR TIERNO GALVÁN","79.0",375,"{""coordinates"": [-0.37126764227836423, 39.48875134162354], ""type"": ""Point""}","39.48875134162354"," -0.37126764227836423"
"10","PRIMADO REIG - A. CATALUÑA","12.0",603,"{""coordinates"": [-0.3555432220290346, 39.47943785905445], ""type"": ""Point""}","39.47943785905445"," -0.3555432220290346"
"11","PASEO NEPTUNO - EUGENIA VIÑES","81.0",373,"{""coordinates"": [-0.32353924076080165, 39.46346133852086], ""type"": ""Point""}","39.46346133852086"," -0.32353924076080165"
"12","AVENIDA OESTE - S. AGUSTÍN - S. VICENTE","3.0",805,"{""coordinates"": [-0.3797675399984947, 39.468347371729244], ""type"": ""Point""}","39.468347371729244"," -0.3797675399984947"
"13","DR. WAKSMAN","9.0",380,"{""coordinates"": [-0.37460970146155265, 39.45652856310022], ""type"": ""Point""}","39.45652856310022"," -0.37460970146155265"
"14","CENTRE HISTÒRIC-MERCAT CENTRAL","120.0",431,"{""coordinates"": [-0.3800475451927459, 39.472802551757546], ""type"": ""Point""}","39.472802551757546"," -0.3800475451927459"
"15","PARKING CHILE - AV. ARAGÓN","70.0",527,"{""coordinates"": [-0.3560615672255923, 39.470666137134444], ""type"": ""Point""}","39.470666137134444"," -0.3560615672255923"
"16","PARKING NAVARRO LLORENS - ABASTOS","73.0",391,"{""coordinates"": [-0.3876034010344055, 39.46705538942175], ""type"": ""Point""}","39.46705538942175"," -0.3876034010344055"
"17","PALACIO DE CONGRESOS","10.0",565,"{""coordinates"": [-0.4010165750530795, 39.497625591871355], ""type"": ""Point""}","39.497625591871355"," -0.4010165750530795"
"18","TRES CREUS","1.0",220,"{""coordinates"": [-0.4062124955883482, 39.46859838280286], ""type"": ""Point""}","39.46859838280286"," -0.4062124955883482"
"19","MERCADO DE RUZAFA","77.0",173,"{""coordinates"": [-0.3714138570102912, 39.46249777436399], ""type"": ""Point""}","39.46249777436399"," -0.3714138570102912"
"20","PORTA DE LA MAR - COLON","7.0",201,"{""coordinates"": [-0.3681538558615269, 39.47179650455632], ""type"": ""Point""}","39.47179650455632"," -0.3681538558615269"
"21","SEVERO OCHOA","78.0",464,"{""coordinates"": [-0.3641397437287907, 39.477034045038], ""type"": ""Point""}","39.477034045038"," -0.3641397437287907"
"22","PLAÇA DE LA REINA","5.0",234,"{""coordinates"": [-0.3755337454841827, 39.474018649210635], ""type"": ""Point""}","39.474018649210635"," -0.3755337454841827"
