"","Disrtict","Residents","Residents.20.70","Total","Tourism","Places.Residents","Places.Residents.20.70","Places.Tourism","Residents.Tourism","Residents.20.70.Tourism"
"1","CIUTAT VELLA",27070,18478,17818,13994,"0,66","0,96","1,27","1,93","1,32"
"2","L'EIXAMPLE",42618,27453,28438,19784,"0,67","1,04","1,44","2,15","1,39"
"3","EXTRAMURS",48617,31579,23707,21076,"0,49","0,75","1,12","2,31","1,5"
"4","CAMPANAR",38338,25091,31086,17004,"0,81","1,24","1,83","2,25","1,48"
"5","LA SAIDIA",47092,30952,16474,19256,"0,35","0,53","0,86","2,45","1,61"
"6","EL PLA DEL REAL",30538,19146,21985,15556,"0,72","1,15","1,41","1,96","1,23"
"7","L'OLIVERETA",48550,31836,19820,19917,"0,41","0,62","1","2,44","1,6"
"8","PATRAIX",57783,39099,34050,27027,"0,59","0,87","1,26","2,14","1,45"
"9","JESUS",52623,35890,19558,22285,"0,37","0,54","0,88","2,36","1,61"
"10","QUATRE CARRERES",73915,48783,43120,31704,"0,58","0,88","1,36","2,33","1,54"
"11","POBLATS MARITIMS",55843,37320,20848,23543,"0,37","0,56","0,89","2,37","1,59"
"12","CAMINS AL GRAU",65451,43628,39387,26154,"0,6","0,9","1,51","2,5","1,67"
"13","ALGIROS",36711,24899,14060,17271,"0,38","0,56","0,81","2,13","1,44"
"14","BENIMACLET",28718,19833,11211,12635,"0,39","0,57","0,89","2,27","1,57"
"15","RASCANYA",53570,35619,22685,20719,"0,42","0,64","1,09","2,59","1,72"
"16","BENICALAP",46699,31195,17858,18979,"0,38","0,57","0,94","2,46","1,64"
"17","POBLATS DEL NORD",6566,4232,1572,3302,"0,24","0,37","0,48","1,99","1,28"
"18","POBLATS DE L'OEST",14387,9649,9297,6449,"0,65","0,96","1,44","2,23","1,5"
"19","POBLATS DEL SUD",20647,13971,8521,10732,"0,41","0,61","0,79","1,92","1,3"
