"barrio";"area"
"AIORA";62250
"ARRANCAPINS";263100
"BENICALAP";260800
"BENIFERRI";89540
"BENIMACLET";64190
"BENIMAMET";56640
"BETERO";41620
"CABANYAL-CANYAMELAR";176610
"CAMI DE VERA";205440
"CAMI FONDO";10620
"CAMI REAL";390840
"CAMPANAR";404150
"CASTELLAR-L'OLIVERAL";81270
"CIUTAT DE LES ARTS I DE LES CIENCIES";398540
"CIUTAT FALLERA";144060
"CIUTAT JARDI";83710
"CIUTAT UNIVERSITARIA";66260
"EL BOTANIC";54290
"EL CALVARI";3330
"EL CARME";148660
"EL FORN D'ALCEDO";7670
"EL GRAU";27570
"EL MERCAT";780
"EL PLA DEL REMEI";27340
"ELS ORRIOLS";59980
"EN CORTS";48010
"EXPOSICIO";118050
"FAITANAR";106170
"FAVARA";11300
"JAUME ROIG";29150
"L'AMISTAT";21370
"L'HORT DE SENABRE";28940
"L'ILLA PERDUDA";13330
"LA CARRASCA";365950
"LA CREU COBERTA";11300
"LA CREU DEL GRAU";24510
"LA FONTETA S.LLUIS";51030
"LA FONTSANTA";2110
"LA GRAN VIA";109760
"LA LLUM";9180
"LA MALVA-ROSA";89740
"LA PETXINA";7460
"LA PUNTA";231400
"LA RAIOSA";10770
"LA ROQUETA";1170
"LA SEU";2220
"LA TORRE";17130
"LA VEGA BAIXA";28010
"LA XEREA";14830
"LES TENDETES";26890
"MALILLA";405800
"MARXALENES";31840
"MESTALLA";176660
"MONTOLIVET";33530
"MORVEDRE";41730
"NA ROVELLA";118070
"NATZARET";123990
"NOU MOLES";36500
"Otro";2470
"PATRAIX";47870
"PENYA-ROJA";293450
"POBLE NOU";22630
"RUSSAFA";28910
"SAFRANAR";66650
"SANT ANTONI";10570
"SANT FRANCESC";58650
"SANT ISIDRE";36060
"SANT LLORENS";110990
"SANT MARCEL.LI";83980
"SANT PAU";698190
"SOTERNES";17620
"TORMOS";93900
"TORREFIEL";183390
"TRES FORQUES";72080
"TRINITAT";317700
"VARA DE QUART";19900
